combination,r2,q2,mae,rmsd,threshold,model,predictions
"('hirshfeld_diff_11-12', 'Vbur1_volume_A3')",0.41327290206904976,0.28888179777828993,0.5180202465988224,0.5957544552573956,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.56386726 0.50584014 0.71264822 2.09991479 1.82789947 0.64988433
 1.04057629 1.04667865 0.84414017 0.69164325 0.68997178 0.19523829
 0.29726701 0.70864696 0.62618143 0.56250757 0.60496245 0.63145067
 0.5997526  0.52929067 0.59123888 0.67537562 0.68077597 1.76050523
 1.25871112]"
"('hirshfeld_diff_11-12', 'Free1_volume_A3')",0.41327290307204156,0.28888179852502527,0.5180202461062006,0.5957544549445989,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.56386726 0.50584014 0.71264821 2.0999148  1.82789947 0.64988433
 1.04057629 1.04667865 0.84414017 0.69164325 0.68997178 0.19523829
 0.29726701 0.70864696 0.62618142 0.56250757 0.60496246 0.63145068
 0.5997526  0.52929067 0.59123888 0.67537562 0.68077597 1.76050523
 1.25871112]"
"('hirshfeld_diff_11-12', 'Vbur2_volume_A3')",0.5948478988903296,0.4524465216742235,0.42413810334902907,0.5227688147587889,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.44333646  0.52563861  0.5660591   2.45559216  1.68581152  0.97180982
  0.87892831  0.8869523   0.83789064  0.88793423  0.88842169 -0.0567444
  0.15060845  0.38891824  0.35830609  0.58086375  0.51987993  0.49665886
  0.86542646  0.55558845  0.4617243   0.71905187  0.93034002  1.82514143
  1.57083054]"
"('hirshfeld_diff_11-12', 'Free2_volume_A3')",0.5948478992753699,0.4524465224300851,0.4241381030060507,0.522768814397965,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.44333646  0.52563861  0.5660591   2.45559216  1.68581152  0.97180982
  0.87892831  0.8869523   0.83789064  0.88793424  0.88842169 -0.0567444
  0.15060845  0.38891824  0.35830609  0.58086375  0.51987993  0.49665886
  0.86542646  0.55558844  0.4617243   0.71905187  0.93034002  1.82514143
  1.57083054]"
"('hirshfeld_diff_3-5', 'hirshfeld_diff_11-5')",0.38013616066673994,0.23599799208057037,0.5223706329387651,0.6175095111766693,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.43067905 0.37977243 0.58482084 0.5289402  0.67571793 1.31576662
 1.713654   1.75879978 1.50065914 1.37115139 1.36183497 0.54742645
 0.54859724 0.59133921 0.65114342 0.42648296 0.48228611 0.50584913
 0.67791532 0.61090309 0.44986088 0.5990781  1.4012426  0.60377805
 0.67726991]"
"('hirshfeld_diff_3-5', 'cm5_diff_11-12')",0.44817571316071725,0.26588957429042226,0.49496329751180257,0.6053089524887341,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.59584791 0.71226269 0.26330718 0.74063939 0.65818828 1.77710905
 0.90579269 0.81630525 1.31019528 1.68697256 1.68502225 0.31355999
 0.19421702 0.22190651 0.34146624 0.60924311 0.51050013 0.44291096
 1.09258827 0.68640091 0.52631719 1.03200814 1.70348353 0.80801687
 0.76070744]"
"('hirshfeld_diff_3-5', 'cm5_diff_3-5')",0.34882354059222864,0.22942646641445508,0.5179375467550469,0.620159563637251,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.50189742 0.44235446 0.42884457 0.50684819 0.54076557 1.44845858
 1.45913045 1.23420092 1.36279005 1.51603304 1.51421477 0.40744321
 0.41355761 0.47380289 0.60809022 0.52032255 0.52469922 0.51758492
 1.13333008 0.87121546 0.47943502 1.01002903 1.4167911  0.53291153
 0.53021798]"
"('hirshfeld_diff_3-5', 'cm5_diff_11-5')",0.6128624908148104,0.44056349531669303,0.39621294047818395,0.5284109419728259,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.57689831  0.59700933 -0.05442847  1.12216254  1.12005495  1.73263625
  1.20336588  0.56408977  1.64744164  1.69261945  1.72393176  0.06717309
  0.18055089 -0.01328794  0.01657884  0.61448451  0.46323147  0.36789728
  0.95374735  1.03203925  0.45249859  0.87854562  1.35668101  1.04618012
  1.05286735]"
"('hirshfeld_diff_3-5', 'dihedral_[5, 4, 6, 11]')",0.3501514063721429,0.21584845645947548,0.5344954760070825,0.625599513098538,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.51570052 0.49731851 0.48766292 0.53803541 0.5677819  1.5594371
 1.24616221 1.21882409 1.23392172 1.5833436  1.57576578 0.40319207
 0.40526968 0.4992436  0.54098056 0.5218053  0.52497341 0.5198583
 0.90352359 0.87101107 0.50386693 1.00780134 1.59835167 0.50694882
 0.56418871]"
"('hirshfeld_diff_3-5', 'angle_[11, 12, 5]')",0.8206559537411883,0.7515995544897079,0.27288070742093956,0.35210531958865027,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.081607    0.2580798   0.27171904  1.4134386   1.62642795  1.82529438
  1.0377281   1.04186053  1.14053621  1.56609638  1.56710708  0.23943023
  0.27737303  0.19686325 -0.05281807  0.06698124  0.08568856  0.12807688
  1.25635288  0.57046274  0.1459668   1.06982747  1.7307015   1.5889977
  1.26116953]"
