combination,r2,q2,mae,rmsd,threshold,model,predictions
"('para', 'Dist_2-9')",0.1896552355472888,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76805909 0.83852411 0.74206169 0.78284999 0.86465665 0.90193858
 0.77874162 0.70838422 0.62222858 0.57900175 0.77983491 0.74076322
 0.69316478 0.73569587 0.86793493]"
"('para', 'Dist_18-20')",0.2590469232490654,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.6401499  0.74803548 0.73400012 0.74955914 0.85127161 0.82490644
 0.87078835 1.00978352 0.63318148 0.60387689 0.69894124 0.79358543
 0.73625836 0.78912097 0.72038104]"
"('para', 'Dist_16-17')",0.6268740539396682,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.74283809 0.84772915 0.87449755 0.9088889  0.9286626  0.7243328
 0.98359029 0.91709517 0.6180432  0.41865372 0.88390278 0.61483151
 0.60500977 0.62808977 0.70767469]"
"('para', 'Dist_10-17')",0.3583888377801503,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.67909684 0.87189309 0.78819564 0.88146209 0.89710083 0.93501415
 0.74713974 0.68933542 0.72335853 0.55562498 0.87983413 0.60159725
 0.58413789 0.73663791 0.83341148]"
"('para', 'dip_x')",0.047844920196787655,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78804522 0.71441503 0.72615071 0.80110582 0.81051376 0.81763235
 0.76858447 0.72615793 0.71734897 0.71348077 0.80881659 0.79868591
 0.79341661 0.73242714 0.68705871]"
"('para', 'dip_y')",0.15885280636109134,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.81145177 0.81659019 0.82470111 0.89365957 0.80926393 0.66975749
 0.579765   0.81395264 0.77115883 0.65492627 0.73538793 0.7108847
 0.7200251  0.80637655 0.78593889]"
"('para', 'dip_z')",0.017680563117086323,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.73019593 0.75929605 0.76132263 0.8062952  0.76715158 0.7718226
 0.74779564 0.74556001 0.74343116 0.70975352 0.76400737 0.79543083
 0.79674751 0.77678326 0.7282467 ]"
"('para', 'B1')",0.18498997529391525,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76611255 0.78602999 0.77893753 0.88165196 0.77597785 0.80723884
 0.77323663 0.76880725 0.74136984 0.71870789 0.78944917 0.83940582
 0.82905608 0.51990974 0.62794883]"
"('para', 'B5')",0.016597736127846874,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.74877393 0.75774527 0.74871603 0.8140937  0.76046844 0.77136723
 0.74386453 0.74687221 0.7273001  0.71261522 0.76382288 0.79554949
 0.7886664  0.77769919 0.74628536]"
"('para', 'L')",0.36701649329532793,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.81869878 0.87937128 0.86151695 0.78433032 0.81597375 0.94397764
 0.69974805 0.82315666 0.78507543 0.541634   0.78101581 0.8694314
 0.62973892 0.61307637 0.5570946 ]"
"('-1-2-', '-2-3-')",0.09537842963139653,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75877851 0.76407427 0.78789908 0.70293729 0.82337998 0.78615883
 0.8766669  0.7872585  0.75504577 0.73435142 0.76524609 0.58440174
 0.75809714 0.7805783  0.73896615]"
"('-1-2-', '-2-9-')",0.03366950342271835,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75221047 0.75662094 0.7560558  0.71364719 0.78079958 0.83460397
 0.84687933 0.75549594 0.73814275 0.72172793 0.75398747 0.75047409
 0.72155811 0.7496576  0.77197881]"
"('-1-2-', '-1-10-')",0.13703174668023033,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.7907386  0.79825989 0.79737681 0.72567074 0.87315067 0.78683779
 0.7851836  0.79604824 0.76659462 0.59450944 0.64999857 0.78796815
 0.64083634 0.78656144 0.82410506]"
"('-1-2-', '-9-16-')",0.03735074396339988,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76046546 0.76490755 0.76441171 0.68971026 0.80942018 0.84337582
 0.81091951 0.76380698 0.7463309  0.72983665 0.73046057 0.75875843
 0.72501932 0.72608668 0.78032995]"
"('-1-2-', '-17-18-')",0.055753151561146574,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76276067 0.76678324 0.76673495 0.72769407 0.80717455 0.83819987
 0.83764895 0.76607482 0.7500714  0.7352121  0.67368162 0.76147924
 0.66883437 0.76079431 0.78069582]"
"('-1-2-', '-18-19-')",0.13298882065684448,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.81311636 0.81999448 0.66921193 0.7192795  0.87177236 0.84782894
 0.74006327 0.71631448 0.74587412 0.68438893 0.82714392 0.71342858
 0.66815756 0.69297998 0.87428556]"
"('-1-2-', '-18-20-')",0.049897297412390906,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71898523 0.77506556 0.77537047 0.74192817 0.80942686 0.83596668
 0.83574377 0.71364404 0.70030857 0.6869432  0.77296886 0.77078241
 0.76954063 0.77024466 0.72692086]"
"('-1-2-', 'Dist_1-2')",0.5306493492054231,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.70351339 0.83885359 0.72333346 0.82047091 0.88683065 0.88350353
 0.67858309 1.14567213 0.66718106 0.6146448  0.71481908 0.66384043
 0.565563   0.62876836 0.8682625 ]"
"('-1-2-', 'Dist_2-3')",0.15987715659660606,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.73177983 0.79325935 0.73339028 0.71400767 0.81603235 0.86198632
 0.81225193 0.85420898 0.84903956 0.78123365 0.68866099 0.67970112
 0.58334301 0.67514671 0.82979822]"
"('-1-2-', 'Dist_2-9')",0.20777067785130254,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.79200293 0.87301012 0.74872346 0.81283152 0.85238049 0.86215731
 0.71270936 0.70850135 0.61918505 0.58855753 0.79715246 0.73139016
 0.67431522 0.72753838 0.90338463]"
"('-1-2-', 'Dist_18-20')",0.17006969426381702,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.70319015 0.7631221  0.76173313 0.64444571 0.80952403 0.76753806
 0.85459399 1.00635292 0.719295   0.7333399  0.71830739 0.72740836
 0.69505155 0.73161938 0.7683183 ]"
"('-1-2-', 'Dist_16-17')",0.5781690038369149,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.79467627 0.86823272 0.9071498  0.83268675 0.88062819 0.62635352
 0.94620509 0.96697759 0.69834268 0.54410476 0.90319881 0.55390933
 0.56135886 0.5765282  0.7434874 ]"
"('-1-2-', 'Dist_10-17')",0.34137230665486074,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.70507467 0.89006845 0.80749496 0.84082687 0.87435808 0.88885432
 0.71970117 0.71148298 0.77180166 0.6236554  0.89711525 0.55699924
 0.54892572 0.70654558 0.86093561]"
"('-1-2-', 'dip_x')",0.05980628456474979,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78115584 0.71706993 0.72790507 0.75044187 0.82960986 0.85849103
 0.81944132 0.72888302 0.71110117 0.69940849 0.79743964 0.77944222
 0.77492234 0.72158646 0.7069417 ]"
"('-1-2-', 'dip_y')",0.2903336178369783,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.84939102 0.84109959 0.86190501 0.70969919 0.9255783  0.79589722
 0.70369764 0.85821351 0.76664511 0.5772108  0.70539016 0.58857822
 0.6120232  0.73957359 0.86893741]"
