combination,accuracy,precision,recall,f1_score,mcfadden_r2,avg_mcfadden_r2,avg_accuracy,avg_f1_score,threshold
"('vbur_ovbur_max_max',)",0.6923076923076923,0.8095238095238095,0.6923076923076923,0.6601307189542484,0.28482687845713683,,,,0.5
"('vbur_ovbur_max_delta',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.05607138801561384,,,,0.5
"('vbur_ovbur_max_vburminconf',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.017059847410383244,,,,0.5
"('vbur_ovtot_min_boltz',)",0.6153846153846154,0.782608695652174,0.6153846153846154,0.5486111111111112,0.11442108917315263,,,,0.5
"('vbur_ovtot_min_max',)",0.5,0.5,0.5,0.4807987711213518,1.5018980625502998e-05,,,,0.5
"('vbur_ovtot_min_delta',)",0.5,0.5,0.5,0.4807987711213518,1.5018980625502998e-05,,,,0.5
"('vbur_ovtot_max_boltz',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.048028081535928746,,,,0.5
"('vbur_ovtot_max_min',)",0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.02191973178280404,,,,0.5
"('vbur_ovtot_max_max',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.07346801184891483,,,,0.5
"('vbur_ovtot_max_delta',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.0949972544337111,,,,0.5
"('vbur_ovtot_max_vburminconf',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.04571178280536481,,,,0.5
"('vbur_near_vbur_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.09238302221541683,,,,0.5
"('vbur_near_vbur_min',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.008854391844243636,,,,0.5
"('vbur_near_vbur_max',)",0.6153846153846154,0.6274509803921569,0.6153846153846154,0.606060606060606,0.07029910410224927,,,,0.5
"('vbur_near_vbur_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.04026053184045464,,,,0.5
"('vbur_near_vbur_vburminconf',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.008166574303079654,,,,0.5
"('vbur_far_vbur_boltz',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.2577483865661926,,,,0.5
"('vbur_far_vbur_min',)",0.5769230769230769,0.6083333333333333,0.5769230769230769,0.5438596491228069,0.036800167118351546,,,,0.5
"('vbur_far_vbur_max',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.20038169005990147,,,,0.5
"('vbur_far_vbur_delta',)",0.6923076923076923,0.696969696969697,0.6923076923076923,0.6904761904761905,0.10146649193362978,,,,0.5
"('vbur_far_vbur_vburminconf',)",0.5384615384615384,0.5488721804511278,0.5384615384615384,0.5125,0.034030017649686606,,,,0.5
"('vbur_near_vtot_boltz',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.011947003432181469,,,,0.5
"('vbur_near_vtot_min',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.00882729029657403,,,,0.5
"('vbur_near_vtot_max',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.0323204947705088,,,,0.5
"('vbur_near_vtot_delta',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.04953823255315437,,,,0.5
"('vbur_near_vtot_vburminconf',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.032366565000666814,,,,0.5
"('vbur_far_vtot_boltz',)",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.10912624661363757,,,,0.5
"('vbur_far_vtot_min',)",0.6153846153846154,0.6857142857142857,0.6153846153846154,0.5751633986928104,0.029304326002474013,,,,0.5
"('vbur_far_vtot_max',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.13233703664734808,,,,0.5
"('vbur_far_vtot_delta',)",0.7307692307692307,0.7321428571428571,0.7307692307692307,0.7303703703703703,0.05415625913288369,,,,0.5
