combination,r2,q2,mae,rmsd,threshold
"('PC1', 'PC2', 'PC11', 'PC20')",0.20002663812515076,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC13')",0.25803743727778716,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC14')",0.22802610579288596,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC15')",0.20890179551731602,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC16')",0.2089081221570116,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC17')",0.294231059676631,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC18')",0.2323165168233432,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC19')",0.22381073305487387,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC12', 'PC20')",0.21263949065361876,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC14')",0.26322590976300797,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC15')",0.244101599485684,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC16')",0.24410792612541288,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC17')",0.3294308636486568,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC18')",0.26751632078941046,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC19')",0.2590105370217769,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC13', 'PC20')",0.2478392946235778,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC14', 'PC15')",0.21409026800040343,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC14', 'PC16')",0.21409659464014608,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC14', 'PC17')",0.29941953216051764,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC14', 'PC18')",0.23750498930791197,-inf,inf,inf,0.85
