Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC2', 'PC6', 'PC8', 'PC18')    | 0.342137   |    0.144562    |    0.701649 |         79 |
| ('PC1', 'PC2', 'PC8', 'PC11')    | 0.323934   |    0.143927    |    0.715392 |         80 |
| ('PC2', 'PC4', 'PC10', 'PC12')   | 0.309989   |    0.142497    |    0.682449 |         81 |
| ('PC1', 'PC2', 'PC6', 'PC17')    | 0.311036   |    0.14226     |    0.724628 |         82 |
| ('PC2', 'PC10', 'PC17', 'PC18')  | 0.337884   |    0.141507    |    0.708515 |         83 |
| ('PC1', 'PC2', 'PC13', 'PC17')   | 0.329431   |    0.140616    |    0.677    |         84 |
| ('PC1', 'PC2', 'PC3', 'PC8')     | 0.32283    |    0.140304    |    0.718568 |         85 |
| ('PC2', 'PC6', 'PC8', 'PC19')    | 0.333631   |    0.140029    |    0.781148 |         86 |
| ('PC2', 'PC4', 'PC6', 'PC13')    | 0.307126   |    0.139998    |    0.670153 |         87 |
| ('PC2', 'PC8', 'PC18', 'PC19')   | 0.326305   |    0.139901    |    0.698442 |         88 |
| ('PC4', 'PC8', 'PC10', 'PC13')   | 0.312505   |    0.1383      |    0.631615 |         89 |
| ('PC2', 'PC6', 'PC8', 'PC12')    | 0.332658   |    0.137698    |    0.69534  |         90 |
| ('PC2', 'PC8', 'PC10', 'PC14')   | 0.375909   |    0.137362    |    0.696743 |         91 |
| ('PC2', 'PC8', 'PC10', 'PC16')   | 0.356791   |    0.13688     |    0.700692 |         92 |
| ('PC1', 'PC2', 'PC8', 'PC15')    | 0.322611   |    0.136658    |    0.718183 |         93 |
| ('PC1', 'PC2', 'PC17', 'PC18')   | 0.30371    |    0.13581     |    0.744795 |         94 |
| ('PC1', 'PC2', 'PC10', 'PC13')   | 0.312905   |    0.135796    |    0.718946 |         95 |
| ('PC1', 'PC2', 'PC6', 'PC10')    | 0.29451    |    0.135477    |    0.732363 |         96 |
| ('PC2', 'PC8', 'PC18', 'PC20')   | 0.315134   |    0.134135    |    0.701264 |         97 |
| ('PC1', 'PC2', 'PC17', 'PC19')   | 0.295204   |    0.133442    |    0.717958 |         98 |
| ('PC2', 'PC7', 'PC8', 'PC18')    | 0.3388     |    0.133049    |    0.702219 |         99 |
| ('PC2', 'PC8', 'PC9', 'PC17')    | 0.376308   |    0.132679    |    0.700062 |        100 |
| ('PC2', 'PC8', 'PC9', 'PC10')    | 0.359783   |    0.132276    |    0.704714 |        101 |
| ('PC2', 'PC7', 'PC8', 'PC20')    | 0.319123   |    0.13208     |    0.761754 |        102 |
| ('PC2', 'PC8', 'PC11', 'PC13')   | 0.33844    |    0.131379    |    0.669095 |        103 |
| ('PC2', 'PC6', 'PC8', 'PC11')    | 0.320045   |    0.131136    |    0.720635 |        104 |
| ('PC2', 'PC8', 'PC12', 'PC19')   | 0.316826   |    0.130777    |    0.67789  |        105 |
| ('PC2', 'PC3', 'PC8', 'PC13')    | 0.337337   |    0.130432    |    0.67277  |        106 |
| ('PC2', 'PC8', 'PC16', 'PC17')   | 0.373317   |    0.130174    |    0.700258 |        107 |
| ('PC4', 'PC8', 'PC13', 'PC17')   | 0.329031   |    0.129765    |    0.645438 |        108 |
| ('PC2', 'PC7', 'PC10', 'PC17')   | 0.341873   |    0.129493    |    0.682174 |        109 |
| ('PC2', 'PC8', 'PC11', 'PC19')   | 0.304213   |    0.128516    |    0.698855 |        110 |
| ('PC2', 'PC4', 'PC9', 'PC17')    | 0.315577   |    0.128365    |    0.698348 |        111 |
| ('PC4', 'PC6', 'PC8', 'PC17')    | 0.310636   |    0.127706    |    0.669708 |        112 |
| ('PC2', 'PC10', 'PC11', 'PC17')  | 0.315792   |    0.126767    |    0.695417 |        113 |
| ('PC2', 'PC8', 'PC13', 'PC15')   | 0.337117   |    0.126593    |    0.672769 |        114 |
| ('PC2', 'PC8', 'PC11', 'PC20')   | 0.293042   |    0.126509    |    0.701475 |        115 |
| ('PC6', 'PC8', 'PC10', 'PC17')   | 0.312526   |    0.126481    |    0.673649 |        116 |
| ('PC2', 'PC10', 'PC17', 'PC19')  | 0.329378   |    0.125913    |    0.709691 |        117 |
| ('PC4', 'PC7', 'PC8', 'PC17')    | 0.307299   |    0.125197    |    0.656889 |        118 |
| ('PC2', 'PC3', 'PC6', 'PC8')     | 0.318941   |    0.125174    |    0.725285 |        119 |
| ('PC4', 'PC6', 'PC8', 'PC10')    | 0.29411    |    0.124871    |    0.688766 |        120 |
| ('PC2', 'PC7', 'PC8', 'PC11')    | 0.316708   |    0.124813    |    0.70722  |        121 |
| ('PC2', 'PC4', 'PC7', 'PC13')    | 0.303789   |    0.124743    |    0.673229 |        122 |
| ('PC4', 'PC8', 'PC17', 'PC19')   | 0.294805   |    0.124465    |    0.65337  |        123 |
| ('PC2', 'PC4', 'PC13', 'PC18')   | 0.2998     |    0.124384    |    0.644848 |        124 |
| ('PC2', 'PC3', 'PC8', 'PC19')    | 0.30311    |    0.124257    |    0.702139 |        125 |
| ('PC2', 'PC6', 'PC8', 'PC15')    | 0.318722   |    0.123984    |    0.723738 |        126 |
| ('PC2', 'PC4', 'PC5', 'PC10')    | 0.309178   |    0.123423    |    0.706852 |        127 |
| ('PC4', 'PC8', 'PC17', 'PC18')   | 0.30331    |    0.121571    |    0.704011 |        128 |
| ('PC2', 'PC7', 'PC8', 'PC12')    | 0.329321   |    0.121529    |    0.694346 |        129 |
| ('PC1', 'PC2', 'PC8', 'PC16')    | 0.322617   |    0.121402    |    0.73256  |        130 |
| ('PC7', 'PC8', 'PC10', 'PC17')   | 0.309189   |    0.121216    |    0.66988  |        131 |
| ('PC2', 'PC8', 'PC15', 'PC19')   | 0.30289    |    0.121       |    0.70395  |        132 |
| ('PC2', 'PC10', 'PC15', 'PC17')  | 0.314469   |    0.120833    |    0.703473 |        133 |
| ('PC2', 'PC8', 'PC12', 'PC13')   | 0.351053   |    0.120778    |    0.660087 |        134 |
| ('PC2', 'PC3', 'PC10', 'PC17')   | 0.314689   |    0.120743    |    0.700866 |        135 |
| ('PC1', 'PC2', 'PC7', 'PC17')    | 0.307699   |    0.120706    |    0.732476 |        136 |
| ('PC2', 'PC3', 'PC7', 'PC8')     | 0.315604   |    0.120626    |    0.708343 |        137 |
| ('PC2', 'PC6', 'PC13', 'PC17')   | 0.325542   |    0.119889    |    0.699949 |        138 |
| ('PC8', 'PC10', 'PC17', 'PC18')  | 0.3052     |    0.119798    |    0.698821 |        139 |
| ('PC2', 'PC8', 'PC12', 'PC18')   | 0.325332   |    0.117922    |    0.704333 |        140 |
| ('PC2', 'PC7', 'PC8', 'PC15')    | 0.315385   |    0.117384    |    0.710279 |        141 |
| ('PC2', 'PC4', 'PC17', 'PC20')   | 0.316317   |    0.117261    |    0.712933 |        142 |
| ('PC2', 'PC13', 'PC17', 'PC18')  | 0.318216   |    0.116459    |    0.697819 |        143 |
| ('PC2', 'PC4', 'PC9', 'PC10')    | 0.299051   |    0.116315    |    0.712635 |        144 |
| ('PC2', 'PC10', 'PC12', 'PC17')  | 0.328405   |    0.115972    |    0.69276  |        145 |
| ('PC2', 'PC4', 'PC5', 'PC17')    | 0.325704   |    0.113929    |    0.695858 |        146 |
| ('PC2', 'PC6', 'PC17', 'PC18')   | 0.299821   |    0.11391     |    0.737985 |        147 |
| ('PC8', 'PC10', 'PC17', 'PC19')  | 0.296694   |    0.112866    |    0.666769 |        148 |
| ('PC2', 'PC6', 'PC8', 'PC16')    | 0.318728   |    0.112567    |    0.734458 |        149 |
| ('PC2', 'PC8', 'PC13', 'PC16')   | 0.337123   |    0.111639    |    0.686762 |        150 |
| ('PC1', 'PC2', 'PC12', 'PC17')   | 0.294231   |    0.11007     |    0.725605 |        151 |
| ('PC2', 'PC6', 'PC10', 'PC13')   | 0.309016   |    0.109703    |    0.74583  |        152 |
| ('PC2', 'PC4', 'PC10', 'PC16')   | 0.29606    |    0.108747    |    0.803631 |        153 |
| ('PC2', 'PC8', 'PC16', 'PC19')   | 0.302897   |    0.108602    |    0.715163 |        154 |
| ('PC2', 'PC8', 'PC11', 'PC12')   | 0.30324    |    0.108347    |    0.704779 |        155 |
| ('PC2', 'PC3', 'PC8', 'PC18')    | 0.311616   |    0.107586    |    0.736075 |        156 |
| ('PC2', 'PC8', 'PC11', 'PC18')   | 0.312719   |    0.10742     |    0.734395 |        157 |
| ('PC2', 'PC8', 'PC14', 'PC17')   | 0.392435   |    0.106733    |    0.706334 |        158 |
| ('PC2', 'PC7', 'PC8', 'PC16')    | 0.315391   |    0.105861    |    0.721241 |        159 |
| ('PC2', 'PC6', 'PC8', 'PC9')     | 0.32172    |    0.105569    |    0.739001 |        160 |
| ('PC2', 'PC8', 'PC9', 'PC13')    | 0.340115   |    0.105229    |    0.6923   |        161 |
| ('PC2', 'PC9', 'PC10', 'PC17')   | 0.317467   |    0.105132    |    0.713215 |        162 |
| ('PC2', 'PC8', 'PC15', 'PC18')   | 0.311396   |    0.104734    |    0.735808 |        163 |
| ('PC4', 'PC8', 'PC12', 'PC17')   | 0.293831   |    0.104372    |    0.658263 |        164 |
| ('PC2', 'PC3', 'PC8', 'PC12')    | 0.302137   |    0.104214    |    0.708107 |        165 |
| ('PC6', 'PC8', 'PC13', 'PC17')   | 0.292858   |    0.104144    |    0.668253 |        166 |
| ('PC2', 'PC7', 'PC13', 'PC17')   | 0.322205   |    0.10303     |    0.694849 |        167 |
