Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC6', 'PC10', 'PC12', 'PC20')  | 0.117225   | -inf           | -inf        |       3701 |
| ('PC6', 'PC10', 'PC12', 'PC19')  | 0.128397   | -inf           | -inf        |       3700 |
| ('PC6', 'PC10', 'PC12', 'PC18')  | 0.136902   | -inf           | -inf        |       3699 |
| ('PC6', 'PC10', 'PC14', 'PC19')  | 0.133585   | -inf           | -inf        |       3713 |
| ('PC6', 'PC10', 'PC15', 'PC16')  | 0.0995582  | -inf           | -inf        |       3715 |
| ('PC6', 'PC11', 'PC12', 'PC14')  | 0.0651316  | -inf           | -inf        |       3731 |
| ('PC6', 'PC10', 'PC17', 'PC18')  | 0.208296   | -inf           | -inf        |       3724 |
| ('PC6', 'PC11', 'PC12', 'PC13')  | 0.0951429  | -inf           | -inf        |       3730 |
| ('PC6', 'PC10', 'PC19', 'PC20')  | 0.118199   | -inf           | -inf        |       3729 |
| ('PC6', 'PC10', 'PC18', 'PC20')  | 0.126704   | -inf           | -inf        |       3728 |
| ('PC6', 'PC10', 'PC18', 'PC19')  | 0.137876   | -inf           | -inf        |       3727 |
| ('PC6', 'PC10', 'PC17', 'PC20')  | 0.188619   | -inf           | -inf        |       3726 |
| ('PC6', 'PC10', 'PC17', 'PC19')  | 0.19979    | -inf           | -inf        |       3725 |
| ('PC6', 'PC10', 'PC16', 'PC20')  | 0.103296   | -inf           | -inf        |       3723 |
| ('PC6', 'PC10', 'PC15', 'PC17')  | 0.184881   | -inf           | -inf        |       3716 |
| ('PC6', 'PC10', 'PC16', 'PC19')  | 0.114467   | -inf           | -inf        |       3722 |
| ('PC6', 'PC10', 'PC16', 'PC18')  | 0.122973   | -inf           | -inf        |       3721 |
| ('PC6', 'PC10', 'PC16', 'PC17')  | 0.184887   | -inf           | -inf        |       3720 |
| ('PC6', 'PC10', 'PC15', 'PC20')  | 0.10329    | -inf           | -inf        |       3719 |
| ('PC6', 'PC10', 'PC15', 'PC19')  | 0.114461   | -inf           | -inf        |       3718 |
| ('PC6', 'PC10', 'PC15', 'PC18')  | 0.122967   | -inf           | -inf        |       3717 |
| ('PC6', 'PC12', 'PC13', 'PC15')  | 0.09382    | -inf           | -inf        |       3767 |
| ('PC6', 'PC12', 'PC13', 'PC16')  | 0.0938263  | -inf           | -inf        |       3768 |
| ('PC6', 'PC12', 'PC13', 'PC17')  | 0.179149   | -inf           | -inf        |       3769 |
| ('PC6', 'PC13', 'PC18', 'PC20')  | 0.107037   | -inf           | -inf        |       3813 |
| ('PC6', 'PC14', 'PC15', 'PC20')  | 0.0536105  | -inf           | -inf        |       3819 |
| ('PC6', 'PC14', 'PC15', 'PC19')  | 0.0647817  | -inf           | -inf        |       3818 |
| ('PC6', 'PC14', 'PC15', 'PC18')  | 0.0732875  | -inf           | -inf        |       3817 |
| ('PC6', 'PC14', 'PC15', 'PC17')  | 0.135202   | -inf           | -inf        |       3816 |
| ('PC6', 'PC14', 'PC15', 'PC16')  | 0.0498791  | -inf           | -inf        |       3815 |
| ('PC6', 'PC13', 'PC19', 'PC20')  | 0.0985308  | -inf           | -inf        |       3814 |
| ('PC6', 'PC13', 'PC18', 'PC19')  | 0.118208   | -inf           | -inf        |       3812 |
| ('PC4', 'PC5', 'PC11', 'PC16')   | 0.0813751  | -inf           | -inf        |       2548 |
| ('PC6', 'PC13', 'PC17', 'PC20')  | 0.168951   | -inf           | -inf        |       3811 |
| ('PC6', 'PC13', 'PC17', 'PC19')  | 0.180122   | -inf           | -inf        |       3810 |
| ('PC6', 'PC13', 'PC17', 'PC18')  | 0.188628   | -inf           | -inf        |       3809 |
| ('PC6', 'PC13', 'PC16', 'PC20')  | 0.0836281  | -inf           | -inf        |       3808 |
| ('PC6', 'PC13', 'PC16', 'PC19')  | 0.0947994  | -inf           | -inf        |       3807 |
| ('PC6', 'PC13', 'PC16', 'PC18')  | 0.103305   | -inf           | -inf        |       3806 |
| ('PC6', 'PC14', 'PC16', 'PC17')  | 0.135208   | -inf           | -inf        |       3820 |
| ('PC6', 'PC14', 'PC16', 'PC19')  | 0.0647881  | -inf           | -inf        |       3822 |
| ('PC6', 'PC12', 'PC13', 'PC18')  | 0.117235   | -inf           | -inf        |       3770 |
| ('PC6', 'PC15', 'PC16', 'PC18')  | 0.0541695  | -inf           | -inf        |       3831 |
| ('PC6', 'PC15', 'PC18', 'PC19')  | 0.0690721  | -inf           | -inf        |       3837 |
| ('PC6', 'PC15', 'PC17', 'PC20')  | 0.119815   | -inf           | -inf        |       3836 |
| ('PC6', 'PC15', 'PC17', 'PC19')  | 0.130987   | -inf           | -inf        |       3835 |
| ('PC6', 'PC15', 'PC17', 'PC18')  | 0.139492   | -inf           | -inf        |       3834 |
| ('PC6', 'PC15', 'PC16', 'PC20')  | 0.0344925  | -inf           | -inf        |       3833 |
| ('PC6', 'PC15', 'PC16', 'PC19')  | 0.0456637  | -inf           | -inf        |       3832 |
| ('PC6', 'PC15', 'PC16', 'PC17')  | 0.116084   | -inf           | -inf        |       3830 |
| ('PC6', 'PC14', 'PC16', 'PC20')  | 0.0536168  | -inf           | -inf        |       3823 |
| ('PC6', 'PC14', 'PC19', 'PC20')  | 0.0685194  | -inf           | -inf        |       3829 |
| ('PC6', 'PC14', 'PC18', 'PC20')  | 0.0770252  | -inf           | -inf        |       3828 |
| ('PC6', 'PC14', 'PC18', 'PC19')  | 0.0881965  | -inf           | -inf        |       3827 |
| ('PC6', 'PC14', 'PC17', 'PC20')  | 0.13894    | -inf           | -inf        |       3826 |
| ('PC6', 'PC14', 'PC17', 'PC19')  | 0.150111   | -inf           | -inf        |       3825 |
| ('PC6', 'PC14', 'PC17', 'PC18')  | 0.158617   | -inf           | -inf        |       3824 |
| ('PC6', 'PC13', 'PC16', 'PC17')  | 0.16522    | -inf           | -inf        |       3805 |
| ('PC6', 'PC13', 'PC15', 'PC20')  | 0.0836218  | -inf           | -inf        |       3804 |
| ('PC6', 'PC13', 'PC15', 'PC19')  | 0.0947931  | -inf           | -inf        |       3803 |
| ('PC6', 'PC12', 'PC14', 'PC20')  | 0.0675463  | -inf           | -inf        |       3778 |
| ('PC6', 'PC12', 'PC16', 'PC17')  | 0.13002    | -inf           | -inf        |       3784 |
| ('PC6', 'PC12', 'PC15', 'PC20')  | 0.048422   | -inf           | -inf        |       3783 |
| ('PC6', 'PC12', 'PC15', 'PC19')  | 0.0595933  | -inf           | -inf        |       3782 |
| ('PC6', 'PC12', 'PC15', 'PC18')  | 0.068099   | -inf           | -inf        |       3781 |
| ('PC6', 'PC12', 'PC15', 'PC17')  | 0.130014   | -inf           | -inf        |       3780 |
| ('PC6', 'PC12', 'PC15', 'PC16')  | 0.0446906  | -inf           | -inf        |       3779 |
| ('PC6', 'PC12', 'PC14', 'PC19')  | 0.0787176  | -inf           | -inf        |       3777 |
| ('PC6', 'PC13', 'PC15', 'PC18')  | 0.103299   | -inf           | -inf        |       3802 |
| ('PC6', 'PC12', 'PC14', 'PC18')  | 0.0872234  | -inf           | -inf        |       3776 |
| ('PC6', 'PC12', 'PC14', 'PC17')  | 0.149138   | -inf           | -inf        |       3775 |
| ('PC6', 'PC12', 'PC14', 'PC16')  | 0.063815   | -inf           | -inf        |       3774 |
| ('PC6', 'PC12', 'PC14', 'PC15')  | 0.0638086  | -inf           | -inf        |       3773 |
| ('PC6', 'PC12', 'PC13', 'PC20')  | 0.0975577  | -inf           | -inf        |       3772 |
| ('PC6', 'PC12', 'PC13', 'PC19')  | 0.108729   | -inf           | -inf        |       3771 |
| ('PC6', 'PC12', 'PC16', 'PC18')  | 0.0681054  | -inf           | -inf        |       3785 |
| ('PC6', 'PC12', 'PC16', 'PC19')  | 0.0595996  | -inf           | -inf        |       3786 |
| ('PC6', 'PC12', 'PC16', 'PC20')  | 0.0484283  | -inf           | -inf        |       3787 |
| ('PC6', 'PC12', 'PC17', 'PC18')  | 0.153428   | -inf           | -inf        |       3788 |
| ('PC6', 'PC12', 'PC17', 'PC19')  | 0.144923   | -inf           | -inf        |       3789 |
| ('PC6', 'PC12', 'PC17', 'PC20')  | 0.133751   | -inf           | -inf        |       3790 |
| ('PC6', 'PC12', 'PC18', 'PC19')  | 0.083008   | -inf           | -inf        |       3791 |
| ('PC6', 'PC12', 'PC18', 'PC20')  | 0.0718367  | -inf           | -inf        |       3792 |
| ('PC6', 'PC12', 'PC19', 'PC20')  | 0.063331   | -inf           | -inf        |       3793 |
| ('PC6', 'PC13', 'PC14', 'PC15')  | 0.0990084  | -inf           | -inf        |       3794 |
| ('PC6', 'PC13', 'PC14', 'PC16')  | 0.0990148  | -inf           | -inf        |       3795 |
| ('PC6', 'PC13', 'PC14', 'PC17')  | 0.184338   | -inf           | -inf        |       3796 |
| ('PC6', 'PC13', 'PC14', 'PC18')  | 0.122423   | -inf           | -inf        |       3797 |
| ('PC6', 'PC13', 'PC14', 'PC19')  | 0.113917   | -inf           | -inf        |       3798 |
| ('PC6', 'PC13', 'PC14', 'PC20')  | 0.102746   | -inf           | -inf        |       3799 |
| ('PC6', 'PC13', 'PC15', 'PC16')  | 0.0798905  | -inf           | -inf        |       3800 |
| ('PC6', 'PC13', 'PC15', 'PC17')  | 0.165213   | -inf           | -inf        |       3801 |
| ('PC7', 'PC10', 'PC12', 'PC16')  | 0.110157   | -inf           | -inf        |       3982 |
| ('PC7', 'PC10', 'PC12', 'PC18')  | 0.133565   | -inf           | -inf        |       3984 |
| ('PC8', 'PC12', 'PC13', 'PC17')  | 0.276054   | -inf           | -inf        |       4269 |
| ('PC8', 'PC9', 'PC14', 'PC18')   | 0.17319    | -inf           | -inf        |       4172 |
| ('PC8', 'PC9', 'PC15', 'PC19')   | 0.145559   | -inf           | -inf        |       4178 |
| ('PC8', 'PC9', 'PC15', 'PC18')   | 0.154065   | -inf           | -inf        |       4177 |
| ('PC8', 'PC9', 'PC15', 'PC17')   | 0.21598    | -inf           | -inf        |       4176 |
| ('PC8', 'PC9', 'PC15', 'PC16')   | 0.130657   | -inf           | -inf        |       4175 |
| ('PC8', 'PC9', 'PC14', 'PC20')   | 0.153513   | -inf           | -inf        |       4174 |
| ('PC8', 'PC9', 'PC14', 'PC19')   | 0.164684   | -inf           | -inf        |       4173 |
| ('PC8', 'PC9', 'PC14', 'PC17')   | 0.235104   | -inf           | -inf        |       4171 |
| ('PC8', 'PC9', 'PC16', 'PC17')   | 0.215986   | -inf           | -inf        |       4180 |
| ('PC8', 'PC9', 'PC14', 'PC16')   | 0.149781   | -inf           | -inf        |       4170 |
| ('PC8', 'PC9', 'PC14', 'PC15')   | 0.149775   | -inf           | -inf        |       4169 |
| ('PC8', 'PC9', 'PC13', 'PC20')   | 0.183524   | -inf           | -inf        |       4168 |
| ('PC8', 'PC9', 'PC13', 'PC19')   | 0.194695   | -inf           | -inf        |       4167 |
| ('PC8', 'PC9', 'PC13', 'PC18')   | 0.203201   | -inf           | -inf        |       4166 |
| ('PC8', 'PC9', 'PC13', 'PC17')   | 0.265115   | -inf           | -inf        |       4165 |
| ('PC8', 'PC9', 'PC15', 'PC20')   | 0.134388   | -inf           | -inf        |       4179 |
| ('PC8', 'PC9', 'PC16', 'PC18')   | 0.154072   | -inf           | -inf        |       4181 |
| ('PC8', 'PC9', 'PC13', 'PC15')   | 0.179786   | -inf           | -inf        |       4163 |
| ('PC8', 'PC10', 'PC11', 'PC12')  | 0.211715   | -inf           | -inf        |       4190 |
| ('PC8', 'PC10', 'PC11', 'PC18')  | 0.221194   | -inf           | -inf        |       4196 |
| ('PC8', 'PC10', 'PC11', 'PC17')  | 0.283109   | -inf           | -inf        |       4195 |
| ('PC8', 'PC10', 'PC11', 'PC16')  | 0.197786   | -inf           | -inf        |       4194 |
| ('PC8', 'PC10', 'PC11', 'PC15')  | 0.197779   | -inf           | -inf        |       4193 |
| ('PC8', 'PC10', 'PC11', 'PC14')  | 0.216904   | -inf           | -inf        |       4192 |
| ('PC8', 'PC10', 'PC11', 'PC13')  | 0.246915   | -inf           | -inf        |       4191 |
| ('PC8', 'PC9', 'PC19', 'PC20')   | 0.149297   | -inf           | -inf        |       4189 |
| ('PC8', 'PC9', 'PC16', 'PC19')   | 0.145566   | -inf           | -inf        |       4182 |
| ('PC8', 'PC9', 'PC18', 'PC20')   | 0.157803   | -inf           | -inf        |       4188 |
| ('PC8', 'PC9', 'PC18', 'PC19')   | 0.168974   | -inf           | -inf        |       4187 |
| ('PC8', 'PC9', 'PC17', 'PC20')   | 0.219718   | -inf           | -inf        |       4186 |
| ('PC8', 'PC9', 'PC17', 'PC19')   | 0.230889   | -inf           | -inf        |       4185 |
| ('PC8', 'PC9', 'PC17', 'PC18')   | 0.239395   | -inf           | -inf        |       4184 |
| ('PC8', 'PC9', 'PC16', 'PC20')   | 0.134395   | -inf           | -inf        |       4183 |
| ('PC8', 'PC9', 'PC13', 'PC16')   | 0.179793   | -inf           | -inf        |       4164 |
| ('PC8', 'PC9', 'PC13', 'PC14')   | 0.198911   | -inf           | -inf        |       4162 |
| ('PC8', 'PC10', 'PC11', 'PC20')  | 0.201517   | -inf           | -inf        |       4198 |
| ('PC8', 'PC9', 'PC10', 'PC12')   | 0.21339    | -inf           | -inf        |       4136 |
| ('PC8', 'PC9', 'PC10', 'PC18')   | 0.222869   | -inf           | -inf        |       4142 |
| ('PC8', 'PC9', 'PC10', 'PC17')   | 0.284783   | -inf           | -inf        |       4141 |
| ('PC8', 'PC9', 'PC10', 'PC16')   | 0.19946    | -inf           | -inf        |       4140 |
| ('PC8', 'PC9', 'PC10', 'PC15')   | 0.199454   | -inf           | -inf        |       4139 |
| ('PC8', 'PC9', 'PC10', 'PC14')   | 0.218578   | -inf           | -inf        |       4138 |
| ('PC8', 'PC9', 'PC10', 'PC13')   | 0.24859    | -inf           | -inf        |       4137 |
| ('PC8', 'PC9', 'PC10', 'PC11')   | 0.200777   | -inf           | -inf        |       4135 |
| ('PC8', 'PC9', 'PC10', 'PC20')   | 0.203192   | -inf           | -inf        |       4144 |
| ('PC7', 'PC18', 'PC19', 'PC20')  | 0.0694726  | -inf           | -inf        |       4134 |
| ('PC7', 'PC17', 'PC19', 'PC20')  | 0.131387   | -inf           | -inf        |       4133 |
| ('PC7', 'PC17', 'PC18', 'PC20')  | 0.139893   | -inf           | -inf        |       4132 |
| ('PC7', 'PC17', 'PC18', 'PC19')  | 0.151064   | -inf           | -inf        |       4131 |
| ('PC7', 'PC16', 'PC19', 'PC20')  | 0.0460642  | -inf           | -inf        |       4130 |
| ('PC7', 'PC16', 'PC18', 'PC20')  | 0.05457    | -inf           | -inf        |       4129 |
| ('PC8', 'PC9', 'PC10', 'PC19')   | 0.214363   | -inf           | -inf        |       4143 |
| ('PC8', 'PC9', 'PC11', 'PC12')   | 0.145909   | -inf           | -inf        |       4145 |
| ('PC8', 'PC9', 'PC12', 'PC20')   | 0.148324   | -inf           | -inf        |       4161 |
| ('PC8', 'PC9', 'PC12', 'PC13')   | 0.193722   | -inf           | -inf        |       4154 |
| ('PC8', 'PC9', 'PC12', 'PC19')   | 0.159495   | -inf           | -inf        |       4160 |
| ('PC8', 'PC9', 'PC12', 'PC18')   | 0.168001   | -inf           | -inf        |       4159 |
| ('PC8', 'PC9', 'PC12', 'PC17')   | 0.229916   | -inf           | -inf        |       4158 |
| ('PC8', 'PC9', 'PC12', 'PC16')   | 0.144593   | -inf           | -inf        |       4157 |
| ('PC8', 'PC9', 'PC12', 'PC15')   | 0.144586   | -inf           | -inf        |       4156 |
| ('PC8', 'PC9', 'PC12', 'PC14')   | 0.163711   | -inf           | -inf        |       4155 |
| ('PC8', 'PC9', 'PC11', 'PC20')   | 0.135711   | -inf           | -inf        |       4153 |
| ('PC8', 'PC9', 'PC11', 'PC13')   | 0.181109   | -inf           | -inf        |       4146 |
| ('PC8', 'PC9', 'PC11', 'PC19')   | 0.146882   | -inf           | -inf        |       4152 |
| ('PC8', 'PC9', 'PC11', 'PC18')   | 0.155388   | -inf           | -inf        |       4151 |
| ('PC8', 'PC9', 'PC11', 'PC17')   | 0.217303   | -inf           | -inf        |       4150 |
| ('PC8', 'PC9', 'PC11', 'PC16')   | 0.13198    | -inf           | -inf        |       4149 |
| ('PC8', 'PC9', 'PC11', 'PC15')   | 0.131974   | -inf           | -inf        |       4148 |
| ('PC8', 'PC9', 'PC11', 'PC14')   | 0.151098   | -inf           | -inf        |       4147 |
| ('PC8', 'PC10', 'PC11', 'PC19')  | 0.212688   | -inf           | -inf        |       4197 |
| ('PC8', 'PC10', 'PC12', 'PC13')  | 0.259528   | -inf           | -inf        |       4199 |
| ('PC7', 'PC10', 'PC12', 'PC19')  | 0.125059   | -inf           | -inf        |       3985 |
| ('PC8', 'PC11', 'PC13', 'PC20')  | 0.181849   | -inf           | -inf        |       4244 |
| ('PC8', 'PC11', 'PC14', 'PC20')  | 0.151838   | -inf           | -inf        |       4250 |
| ('PC8', 'PC11', 'PC14', 'PC19')  | 0.163009   | -inf           | -inf        |       4249 |
| ('PC8', 'PC11', 'PC14', 'PC18')  | 0.171515   | -inf           | -inf        |       4248 |
| ('PC8', 'PC11', 'PC14', 'PC17')  | 0.233429   | -inf           | -inf        |       4247 |
| ('PC8', 'PC11', 'PC14', 'PC16')  | 0.148106   | -inf           | -inf        |       4246 |
| ('PC8', 'PC11', 'PC14', 'PC15')  | 0.1481     | -inf           | -inf        |       4245 |
| ('PC8', 'PC11', 'PC13', 'PC19')  | 0.19302    | -inf           | -inf        |       4243 |
| ('PC8', 'PC11', 'PC15', 'PC17')  | 0.214305   | -inf           | -inf        |       4252 |
| ('PC8', 'PC11', 'PC13', 'PC18')  | 0.201526   | -inf           | -inf        |       4242 |
| ('PC8', 'PC11', 'PC13', 'PC17')  | 0.263441   | -inf           | -inf        |       4241 |
| ('PC8', 'PC11', 'PC13', 'PC16')  | 0.178118   | -inf           | -inf        |       4240 |
| ('PC8', 'PC11', 'PC13', 'PC15')  | 0.178111   | -inf           | -inf        |       4239 |
| ('PC8', 'PC11', 'PC13', 'PC14')  | 0.197236   | -inf           | -inf        |       4238 |
| ('PC8', 'PC11', 'PC12', 'PC20')  | 0.146649   | -inf           | -inf        |       4237 |
| ('PC8', 'PC11', 'PC15', 'PC16')  | 0.128982   | -inf           | -inf        |       4251 |
| ('PC8', 'PC11', 'PC15', 'PC18')  | 0.152391   | -inf           | -inf        |       4253 |
| ('PC8', 'PC11', 'PC12', 'PC18')  | 0.166326   | -inf           | -inf        |       4235 |
| ('PC8', 'PC11', 'PC17', 'PC20')  | 0.218043   | -inf           | -inf        |       4262 |
| ('PC8', 'PC12', 'PC13', 'PC16')  | 0.190731   | -inf           | -inf        |       4268 |
| ('PC8', 'PC12', 'PC13', 'PC15')  | 0.190724   | -inf           | -inf        |       4267 |
| ('PC8', 'PC12', 'PC13', 'PC14')  | 0.209849   | -inf           | -inf        |       4266 |
| ('PC8', 'PC11', 'PC19', 'PC20')  | 0.147622   | -inf           | -inf        |       4265 |
| ('PC8', 'PC11', 'PC18', 'PC20')  | 0.156128   | -inf           | -inf        |       4264 |
| ('PC8', 'PC11', 'PC18', 'PC19')  | 0.167299   | -inf           | -inf        |       4263 |
| ('PC8', 'PC11', 'PC17', 'PC19')  | 0.229214   | -inf           | -inf        |       4261 |
| ('PC8', 'PC11', 'PC15', 'PC19')  | 0.143885   | -inf           | -inf        |       4254 |
| ('PC8', 'PC11', 'PC17', 'PC18')  | 0.23772    | -inf           | -inf        |       4260 |
| ('PC8', 'PC11', 'PC16', 'PC20')  | 0.13272    | -inf           | -inf        |       4259 |
| ('PC8', 'PC11', 'PC16', 'PC19')  | 0.143891   | -inf           | -inf        |       4258 |
| ('PC8', 'PC11', 'PC16', 'PC18')  | 0.152397   | -inf           | -inf        |       4257 |
| ('PC8', 'PC11', 'PC16', 'PC17')  | 0.214311   | -inf           | -inf        |       4256 |
| ('PC8', 'PC11', 'PC15', 'PC20')  | 0.132714   | -inf           | -inf        |       4255 |
| ('PC8', 'PC11', 'PC12', 'PC19')  | 0.157821   | -inf           | -inf        |       4236 |
| ('PC8', 'PC11', 'PC12', 'PC17')  | 0.228241   | -inf           | -inf        |       4234 |
| ('PC8', 'PC10', 'PC12', 'PC14')  | 0.229516   | -inf           | -inf        |       4200 |
| ('PC8', 'PC10', 'PC13', 'PC16')  | 0.245598   | -inf           | -inf        |       4208 |
| ('PC8', 'PC10', 'PC14', 'PC18')  | 0.238995   | -inf           | -inf        |       4214 |
| ('PC8', 'PC10', 'PC14', 'PC16')  | 0.215587   | -inf           | -inf        |       4213 |
| ('PC8', 'PC10', 'PC14', 'PC15')  | 0.215581   | -inf           | -inf        |       4212 |
| ('PC8', 'PC10', 'PC13', 'PC20')  | 0.24933    | -inf           | -inf        |       4211 |
| ('PC8', 'PC10', 'PC13', 'PC19')  | 0.260501   | -inf           | -inf        |       4210 |
| ('PC8', 'PC10', 'PC13', 'PC18')  | 0.269007   | -inf           | -inf        |       4209 |
| ('PC8', 'PC10', 'PC13', 'PC15')  | 0.245592   | -inf           | -inf        |       4207 |
| ('PC8', 'PC10', 'PC14', 'PC20')  | 0.219318   | -inf           | -inf        |       4216 |
| ('PC8', 'PC10', 'PC13', 'PC14')  | 0.264716   | -inf           | -inf        |       4206 |
| ('PC8', 'PC10', 'PC12', 'PC20')  | 0.21413    | -inf           | -inf        |       4205 |
| ('PC8', 'PC10', 'PC12', 'PC19')  | 0.225301   | -inf           | -inf        |       4204 |
| ('PC8', 'PC10', 'PC12', 'PC18')  | 0.233807   | -inf           | -inf        |       4203 |
| ('PC8', 'PC10', 'PC12', 'PC16')  | 0.210398   | -inf           | -inf        |       4202 |
| ('PC8', 'PC10', 'PC12', 'PC15')  | 0.210392   | -inf           | -inf        |       4201 |
| ('PC8', 'PC10', 'PC14', 'PC19')  | 0.23049    | -inf           | -inf        |       4215 |
| ('PC8', 'PC10', 'PC15', 'PC16')  | 0.196463   | -inf           | -inf        |       4217 |
| ('PC8', 'PC11', 'PC12', 'PC16')  | 0.142918   | -inf           | -inf        |       4233 |
| ('PC8', 'PC10', 'PC17', 'PC20')  | 0.285523   | -inf           | -inf        |       4226 |
| ('PC8', 'PC11', 'PC12', 'PC15')  | 0.142912   | -inf           | -inf        |       4232 |
| ('PC8', 'PC11', 'PC12', 'PC14')  | 0.162036   | -inf           | -inf        |       4231 |
| ('PC8', 'PC11', 'PC12', 'PC13')  | 0.192047   | -inf           | -inf        |       4230 |
| ('PC8', 'PC10', 'PC19', 'PC20')  | 0.215103   | -inf           | -inf        |       4229 |
| ('PC8', 'PC10', 'PC18', 'PC20')  | 0.223609   | -inf           | -inf        |       4228 |
| ('PC8', 'PC10', 'PC18', 'PC19')  | 0.23478    | -inf           | -inf        |       4227 |
| ('PC8', 'PC10', 'PC16', 'PC20')  | 0.2002     | -inf           | -inf        |       4225 |
| ('PC8', 'PC10', 'PC15', 'PC17')  | 0.281786   | -inf           | -inf        |       4218 |
| ('PC8', 'PC10', 'PC16', 'PC19')  | 0.211372   | -inf           | -inf        |       4224 |
| ('PC8', 'PC10', 'PC16', 'PC18')  | 0.219877   | -inf           | -inf        |       4223 |
| ('PC8', 'PC10', 'PC16', 'PC17')  | 0.281792   | -inf           | -inf        |       4222 |
| ('PC8', 'PC10', 'PC15', 'PC20')  | 0.200194   | -inf           | -inf        |       4221 |
| ('PC8', 'PC10', 'PC15', 'PC19')  | 0.211365   | -inf           | -inf        |       4220 |
| ('PC8', 'PC10', 'PC15', 'PC18')  | 0.219871   | -inf           | -inf        |       4219 |
| ('PC7', 'PC16', 'PC18', 'PC19')  | 0.0657412  | -inf           | -inf        |       4128 |
| ('PC7', 'PC16', 'PC17', 'PC20')  | 0.116485   | -inf           | -inf        |       4127 |
| ('PC7', 'PC16', 'PC17', 'PC19')  | 0.127656   | -inf           | -inf        |       4126 |
| ('PC7', 'PC11', 'PC13', 'PC20')  | 0.0816076  | -inf           | -inf        |       4029 |
| ('PC7', 'PC11', 'PC14', 'PC20')  | 0.0515962  | -inf           | -inf        |       4035 |
| ('PC7', 'PC11', 'PC14', 'PC19')  | 0.0627675  | -inf           | -inf        |       4034 |
| ('PC7', 'PC11', 'PC14', 'PC18')  | 0.0712733  | -inf           | -inf        |       4033 |
| ('PC7', 'PC11', 'PC14', 'PC17')  | 0.133188   | -inf           | -inf        |       4032 |
| ('PC7', 'PC11', 'PC14', 'PC16')  | 0.0478649  | -inf           | -inf        |       4031 |
| ('PC7', 'PC11', 'PC14', 'PC15')  | 0.0478585  | -inf           | -inf        |       4030 |
| ('PC7', 'PC11', 'PC13', 'PC19')  | 0.0927788  | -inf           | -inf        |       4028 |
| ('PC7', 'PC11', 'PC15', 'PC17')  | 0.114063   | -inf           | -inf        |       4037 |
| ('PC7', 'PC11', 'PC13', 'PC18')  | 0.101285   | -inf           | -inf        |       4027 |
| ('PC7', 'PC11', 'PC13', 'PC17')  | 0.163199   | -inf           | -inf        |       4026 |
| ('PC7', 'PC11', 'PC13', 'PC16')  | 0.0778762  | -inf           | -inf        |       4025 |
| ('PC7', 'PC11', 'PC13', 'PC15')  | 0.0778699  | -inf           | -inf        |       4024 |
| ('PC7', 'PC11', 'PC13', 'PC14')  | 0.0969942  | -inf           | -inf        |       4023 |
| ('PC7', 'PC11', 'PC12', 'PC20')  | 0.0464078  | -inf           | -inf        |       4022 |
| ('PC7', 'PC11', 'PC15', 'PC16')  | 0.0287406  | -inf           | -inf        |       4036 |
| ('PC7', 'PC11', 'PC15', 'PC18')  | 0.052149   | -inf           | -inf        |       4038 |
| ('PC7', 'PC11', 'PC12', 'PC18')  | 0.0660848  | -inf           | -inf        |       4020 |
| ('PC7', 'PC11', 'PC17', 'PC20')  | 0.117801   | -inf           | -inf        |       4047 |
| ('PC7', 'PC12', 'PC13', 'PC16')  | 0.0904891  | -inf           | -inf        |       4053 |
| ('PC7', 'PC12', 'PC13', 'PC15')  | 0.0904827  | -inf           | -inf        |       4052 |
| ('PC7', 'PC12', 'PC13', 'PC14')  | 0.109607   | -inf           | -inf        |       4051 |
| ('PC7', 'PC11', 'PC19', 'PC20')  | 0.0473809  | -inf           | -inf        |       4050 |
| ('PC7', 'PC11', 'PC18', 'PC20')  | 0.0558866  | -inf           | -inf        |       4049 |
| ('PC7', 'PC11', 'PC18', 'PC19')  | 0.0670579  | -inf           | -inf        |       4048 |
| ('PC7', 'PC11', 'PC17', 'PC19')  | 0.128972   | -inf           | -inf        |       4046 |
| ('PC7', 'PC11', 'PC15', 'PC19')  | 0.0436432  | -inf           | -inf        |       4039 |
| ('PC7', 'PC11', 'PC17', 'PC18')  | 0.137478   | -inf           | -inf        |       4045 |
| ('PC7', 'PC11', 'PC16', 'PC20')  | 0.0324783  | -inf           | -inf        |       4044 |
| ('PC7', 'PC11', 'PC16', 'PC19')  | 0.0436495  | -inf           | -inf        |       4043 |
| ('PC7', 'PC11', 'PC16', 'PC18')  | 0.0521553  | -inf           | -inf        |       4042 |
| ('PC7', 'PC11', 'PC16', 'PC17')  | 0.11407    | -inf           | -inf        |       4041 |
| ('PC7', 'PC11', 'PC15', 'PC20')  | 0.0324719  | -inf           | -inf        |       4040 |
| ('PC7', 'PC11', 'PC12', 'PC19')  | 0.057579   | -inf           | -inf        |       4021 |
| ('PC7', 'PC11', 'PC12', 'PC17')  | 0.127999   | -inf           | -inf        |       4019 |
| ('PC7', 'PC16', 'PC17', 'PC18')  | 0.136162   | -inf           | -inf        |       4125 |
| ('PC7', 'PC10', 'PC13', 'PC20')  | 0.149088   | -inf           | -inf        |       3993 |
| ('PC7', 'PC10', 'PC14', 'PC20')  | 0.119077   | -inf           | -inf        |       3999 |
| ('PC7', 'PC10', 'PC14', 'PC19')  | 0.130248   | -inf           | -inf        |       3998 |
