filename,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,output
MD-41.xyz,5.688934269,-19.18086896,-2.805161119,39.75688178,-9.910292224,-0.578393722,-0.530707251,2.104650654,0.608852293,0.345332103,-0.880302617,-2.435862878,-0.140269372,-0.658411966,3.80723483,-21.9833923,2.675364474,-0.892557633,0.355111404,0.282833855,-0.225001947
MD-42.xyz,-6.288741097,-3.058365948,13.62920177,5.56286213,-0.750386362,-7.671111548,4.719096638,-9.796741801,2.408481489,0.944871373,-13.89146895,10.40887439,2.844486599,3.46834982,11.64443647,2.235246573,-2.383013842,0.658432533,0.912751993,0.428293512,-0.150180653
MD-48.xyz,52.91981869,-72.46993423,1.907402614,-22.93380039,4.66378774,0.301293451,-0.888287034,-1.391957391,0.002578085,0.31994554,0.754880273,0.044968603,0.256294088,-0.005951665,-0.427986408,0.668576076,-0.369316964,0.065103197,-0.081764554,0.014723997,-0.196197032
MD-61.xyz,-8.931006177,2.644756209,-9.408186773,-4.073274993,5.779825124,3.423504989,-0.171883604,-4.362642164,-1.264502982,2.046449825,7.061157835,1.872817525,5.178677758,-1.370579439,-3.067310531,-3.558036483,-9.670885863,10.34855671,0.898964406,-0.722946785,-0.034859829
MD-66.xyz,-7.726182553,2.246496958,-6.771260704,-3.831832226,6.361773483,-2.341316377,2.037181444,-6.314376892,-2.357603142,-0.915161225,17.96341068,-2.22593011,-6.073586781,-1.614756687,12.42951457,0.634557988,6.143657837,-1.703536183,-0.541909433,0.052155422,-1.664510389
MD-68.xyz,-6.849643574,-2.114265248,15.06199439,3.557000473,-1.198186072,-6.820094063,3.575575979,-5.257728138,1.928638625,-0.919265385,-0.03506547,-1.224365808,-0.050254654,-1.861524485,-6.529762664,0.152027729,-4.677648036,-9.257582684,0.073565364,-0.467717859,-0.605784251
MD-71.xyz,-5.728743567,4.340706028,-9.258482515,-7.287313461,3.860873069,-1.573584315,-15.44926051,3.502906496,-0.444916413,12.5798448,-7.129231814,-11.57795768,-10.06752067,1.415070143,2.770875942,-0.965630877,-0.16919923,1.519565538,-3.711718464,0.760530956,-0.056469553
MD-74.xyz,-7.456695055,2.511988489,-5.718050982,-5.995259266,0.819987314,35.10249008,0.261076347,-6.733864887,-1.178078679,-5.506127929,-3.22886785,-0.683032411,-3.985770434,-0.543479262,0.245844761,-1.503013099,1.486566882,-2.098132887,14.82108698,0.182354581,-0.150955501
MD-75.xyz,-6.80258048,2.964056444,-7.095486247,-4.698540946,1.182404812,9.03060009,-6.165547202,4.067449031,-0.915724593,12.93550031,5.860131327,0.400696845,16.29036361,5.09107943,1.016510981,-0.548577012,5.077850382,-2.678413849,-2.918853228,-0.99884615,-0.27050194
MD-77.xyz,-6.078689775,4.784435969,-7.322602964,-8.651500651,3.154480751,-1.587503926,-22.80005512,10.16110686,0.636897798,-13.00350453,1.127450483,10.20707008,0.496261448,-2.332058379,0.69039687,-3.998125927,1.285284245,-0.414410478,-6.141742106,-0.371249848,-2.059053887
