combination,r2,q2,mae,rmsd,threshold,model
"('cross', 'para', '-2-3-', 'Dist(1, 10)')",0.7273915361006392,-1.4619733832760962,0.18429501113600572,0.2736083496002155,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(9, 16)')",0.767246817799087,-1.1087752655276017,0.17508195050886632,0.25322280732284075,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(17, 18)')",0.7228431185061568,-1.3799258424523648,0.1858532100233302,0.26901059320379617,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(18, 19)')",0.7213442108507491,-1.4052390701988244,0.1857054639274622,0.2704374265901803,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(18, 20)')",0.7440367333276485,-1.2181754742852076,0.1792932447457679,0.25970817433857396,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(16, 17)')",0.791611767968761,-1.0558835702942262,0.17065080003715005,0.2500270102088209,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Dist(10, 17)')",0.7500662718860247,-1.1274261785695514,0.17086251240477315,0.25434014776795194,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'dip_x')",0.7767935343968572,-1.40853055776849,0.18780890608614656,0.2706224055212087,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'dip_y')",0.7213696216669667,-1.802844588466344,0.19680987547313852,0.2919356809978066,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'dip_z')",0.7240383102203649,-1.5548536868909895,0.19992460545061697,0.2787216386346688,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'Total')",0.7999747428099244,-0.7792705886133426,0.167485435032195,0.2325994426261136,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO O 1')",0.7217528290594435,-1.4503952947942067,0.18621209665928504,0.27296423319439866,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO B 2')",0.748828034167974,-1.2004851589697645,0.17155790746113617,0.25867049351233323,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO C 3')",0.7221224800946779,-1.3742483641918262,0.1860770785973083,0.26868952989024425,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO O 9')",0.7259106260588575,-1.535782015052931,0.1909274173270111,0.2776793783490444,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO H 10')",0.723070101947539,-1.4692451869056442,0.1867534384579522,0.27401212309445244,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO H 16')",0.7433882660899677,-1.4499906927435573,0.1768811838813323,0.2729416967391428,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO O 17')",0.7229699189386849,-1.3802167826125031,0.1871368607551855,0.2690270356474763,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO C 18')",0.7384410707852702,-1.4366565966100167,0.19647949546669075,0.2721979395763019,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO H 19')",0.7213451456404685,-1.4092411096640038,0.18548326449254313,0.27066232137000207,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'NBO C 20')",0.7263577372535992,-1.3472512423428569,0.18672069500968708,0.267157553985792,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
