combination,r2,q2,mae,rmsd,threshold
"('cross', 'cross_angle', 'para_angle', 'total_dipole_11-6-4')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_10-11-12')",0.2535595770869411,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_10-11-12')",0.2947413120167639,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_10-11-12')",0.3106495440085152,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_10-11-12')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_11-12-5')",0.2868831938162557,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_11-12-5')",0.25699499088879607,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_11-12-5')",0.30441297116464283,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_11-12-5')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_4-5-1')",0.2936088614867245,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_4-5-1')",0.25069704630921985,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_4-5-1')",0.2673814765358521,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_4-5-1')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_4-3-2')",0.26429547769058004,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_4-3-2')",0.2769862919202096,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_4-3-2')",0.3337947796555508,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_4-3-2')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_x_1-2-3')",0.28000286656947604,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_y_1-2-3')",0.24982091423298047,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'dipole_z_1-2-3')",0.3436400566477049,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'total_dipole_1-2-3')",0.24881239722627446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_3')",0.37031901818537993,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_5')",0.31015985049034345,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_11')",0.3158645542500216,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_12')",0.24920653320004205,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_4')",0.40336109921834384,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_6')",0.2967933193888541,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_20')",0.2543836809959953,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_21')",0.2522684509410278,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_22')",0.3963278495170952,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_atom_7')",0.26110480492880206,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_3')",0.42785104328680124,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_5')",0.3079513368949991,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_11')",0.3475128840981381,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_12')",0.2516734314804375,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_4')",0.41638074003345915,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_6')",0.24813959865728774,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_20')",0.3124936984311736,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_21')",0.2563220924747993,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_22')",0.46805559478537595,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_atom_7')",0.2972463113965873,-inf,inf,inf,0.7
