,cross,cross_angle,para,para_angle,Frequency_Bending_5-6,Cross_mag_Bending_5-6,dip_x_NPA_1-2-19,dip_y_NPA_1-2-19,dip_z_NPA_1-2-19,total_dipole_NPA_1-2-19,dip_x_NPA_20-19-27,dip_y_NPA_20-19-27,dip_z_NPA_20-19-27,total_dipole_NPA_20-19-27,dipole_x_1-2-19,dipole_y_1-2-19,dipole_z_1-2-19,total_dipole_1-2-19,dipole_x_20-19-27,dipole_y_20-19-27,dipole_z_20-19-27,total_dipole_20-19-27,nbo_atom_3,nbo_atom_5,nbo_atom_11,nbo_atom_12,nbo_atom_4,nbo_atom_6,nbo_atom_20,nbo_atom_21,nbo_atom_22,nbo_atom_7,nbo_diff_3-2,nbo_diff_29-28,nbo_diff_2-29,B1_4-1,B5_4-1,L_4-1,loc_B5_4-1,B1_B5_angle_4-1,B1_1-4,B5_1-4,L_1-4,loc_B5_1-4,B1_B5_angle_1-4,"dihedral_[8, 7, 4, 1]","angle_[1, 2, 19]",bond_length_1-2,bond_length_4-7
p_Me,1647.2585,28.766590194319768,1691.1858,60.0322276137949,3131.6318,0.44056631736890645,5.246378159000001,-0.10914229700000025,1.7034685320000003,5.517082641010637,2.5650507719999998,1.2970639609999999,-6.595205536,7.194344754315562,-3.0601062828340835,3.7062963219793277,2.5387854185499568,5.4356,-5.017783415766096,-0.1699674341964239,2.0830926416689715,5.4356,-0.61938,0.24987,0.21063,-0.19941,-0.51199,0.23629,-0.43852,0.22685,-0.07131,-0.05784,-0.003170000000000006,-0.09654999999999997,-0.05044000000000004,2.2026,3.8938,7.417,3.3553,135.9927,1.851,6.9797,5.7037,3.9833,158.6117,122.23751374341681,119.5610525369238,1.3648135616416626,1.5054831044704555
p_I,1637.7132,24.99152221856397,1663.9261,64.07038143824575,3082.8917,0.42395342904616307,5.23652204,-0.15097001099999993,1.4558659,5.437232801564589,2.3042784299999997,1.3880938880000004,-6.5180208890000015,7.051319027976723,-1.5299870822145734,2.876809125323289,4.042301482412363,5.1921,-4.369629909005673,-2.3472199286529607,1.5342703656322954,5.1921,-0.61241,0.25266,0.21597,-0.23056,-0.51468,0.23597,-0.43833,0.22827,-0.0715,-0.04577,0.003909999999999969,-0.10297000000000006,-0.04621999999999993,2.1972,3.4218,7.408,3.7581,154.932,1.8499,7.9364,6.3596,4.2096,157.1779,131.6709679829209,119.45974185905817,1.3661195442218812,1.5071475650681985
p_F,1668.675,28.34090647729457,1686.7409,61.31403878537975,3132.9089,0.4278145743192955,5.2947993129999995,-0.08324927399999993,1.472687804,5.49642061478351,2.365902498,1.4490115549999998,-6.5520726510000005,7.115250181163578,-1.6468630366659094,2.896840114156734,3.9574412240077477,5.1735,-4.422798060598515,-2.198944030199649,1.539052961146997,5.1735,-0.61385,0.25049,0.21456,-0.26883,-0.51192,0.23535,-0.43839,0.22785,-0.07147,-0.06412,0.003070000000000017,-0.10273000000000004,-0.046740000000000004,2.1966,3.4219,7.4067,3.7585,154.8848,1.8499,6.4421,5.5468,3.8803,158.2929,131.08183046515947,119.45993596144214,1.3663343521298146,1.5076991890970826
p_Cl,1644.9732,27.66849139230352,1673.7923,61.81112362293793,3133.1356,0.43544948042224146,5.254119287000001,-0.1305191739999999,1.45822446,5.454284858031283,2.3222178860000002,1.409876239,-6.530046816,7.07262033043672,-1.5039613250939494,2.824201900838438,4.074290014950115,5.1805,-4.347861879421549,-2.394204688001528,1.483824841220966,5.1805,-0.61293,0.25211,0.21566,-0.21718,-0.51411,0.236,-0.43836,0.22812,-0.07149,-0.05045,0.0035000000000000586,-0.10278999999999999,-0.04641000000000006,2.1974,3.4221,7.4081,3.758,155.0285,1.8501,7.2672,5.8396,4.0396,158.3501,130.5528472323923,119.45024233493804,1.3661980926556734,1.5070220644446453
p_Br,1643.5925,25.771415213223452,1667.2775,64.08314532745787,3133.5813,0.42356735001649964,5.239797737000001,-0.13859196900000006,1.4528223800000002,5.4392445179795414,2.31237189,1.398709961,-6.5153597560000005,7.0536065996600055,-1.4354001940073684,2.79441364765385,4.16665191716917,5.2182,-4.3353460504554855,-2.5056449890070427,1.4685460026379542,5.2182,-0.61243,0.25244,0.21604,-0.22259,-0.51442,0.23595,-0.43832,0.22821,-0.07153,-0.04785,0.003950000000000009,-0.10291000000000006,-0.04630000000000001,2.1971,3.4217,7.4066,3.7585,154.9531,1.8499,7.5653,6.0513,4.1013,158.3371,131.13204290369987,119.45138368034318,1.366190406601144,1.5071374158008952
o_nitro,1660.5135,18.814968438511045,1697.301,66.55441220676295,3125.3862,0.41695478172099193,4.314407318,-0.25295803900000013,0.3874675769999997,4.3391507692557685,1.080258811,1.491547965,-5.110855165,5.432542217806131,0.10233310970918919,0.5305943668403439,0.9906456695178868,1.1285,-0.6413478242192752,-0.852531442718376,0.3677558939646326,1.1285,-0.62618,0.24523,0.54451,-0.16363,-0.51527,0.24477,-0.43752,0.22923,-0.0717,0.00515,-0.008259999999999934,-0.09157000000000004,-0.05569999999999997,2.1561,3.9924,7.3704,3.1724,136.6889,1.8442,6.1537,5.1126,3.1652,149.6547,108.4867465536453,119.65276080040145,1.3571535926552307,1.5114926945840657
o_I,1636.0173,33.12257470476889,1662.2976,55.37646580030667,3129.2367,0.4515600181592697,5.329469391,-0.20138557400000007,1.3355546720000002,5.497954748897289,2.172976242,1.4936357599999996,-6.531043626999999,7.0432453023889865,-1.3325100976901614,3.9733614390632233,2.2290122485350308,4.7468,-3.573795900350363,-0.8567546728667627,3.004269326002565,4.7468,-0.60922,0.25384,0.12625,-0.19867,-0.52112,0.24011,-0.43798,0.22891,-0.07176,-0.06912,0.007809999999999984,-0.10630999999999996,-0.04437000000000002,2.1851,3.442,7.3846,3.7405,152.1023,1.929,5.939,6.8523,3.7008,93.9779,162.14046424257216,120.08895170151895,1.3666722587614046,1.5119876266934198
o_F,1661.2122,22.318641012656204,1690.3239,67.05009041121704,3141.2377,0.47148253414097957,3.730464483,0.7677193060000002,1.1809833840000004,3.987540588509874,2.008763204,1.6793245810000001,-3.8603722090000003,4.6645186514917825,-1.756299353097416,3.8970363376053268,1.8161322709795267,4.6443,-3.701945315227144,-0.3127901990616541,2.7870377167233986,4.6443,-0.61176,0.25387,-0.3226,-0.21975,-0.51829,0.25097,-0.43828,0.22799,-0.07154,-0.11165,0.005230000000000068,-0.1043,-0.04541000000000006,2.1973,3.4217,7.4054,3.7581,154.4811,1.8477,5.8828,5.7411,3.805,158.3581,139.79805133042208,119.55918138629863,1.3665295238618156,1.5071837294892088
o_Cl,1644.3875,36.61045430508265,1669.8139,51.56636708387268,3132.6779,0.4490346534511563,4.905724657000001,-0.08126936899999983,1.275007481,5.069357276543192,2.054565798,1.4369592440000003,-5.915386784,6.424787412167837,-1.3804018997538874,3.9841963799326474,2.128311248686958,4.7232,-3.566960451240396,-0.7438095848071918,3.005424996707764,4.7232,-0.60938,0.25327,0.00068,-0.20333,-0.51931,0.24287,-0.43803,0.22878,-0.07169,-0.05264,0.008000000000000007,-0.10641999999999996,-0.044580000000000064,2.1871,3.438,7.3896,3.744,152.2029,1.844,5.9113,6.2084,3.7537,157.0981,160.01950243991936,119.99727942318185,1.3669040335788025,1.5106647268302122
o_Br,1640.9503,33.93487072744621,1667.6032,55.68655471644714,3132.0737,0.45762263930011154,5.082233276,-0.12561277300000012,1.300091798,5.2473910015977765,2.1061109299999994,1.470126949,-6.168448022999999,6.681820673146961,-1.2843014705665463,4.021685329518593,2.0798281042036963,4.7063,-3.4789346094301377,-0.7671393756985233,3.0753177496906,4.7063,-0.60913,0.25383,0.05018,-0.20102,-0.5203,0.24267,-0.43799,0.22885,-0.07175,-0.06011,0.008050000000000002,-0.10653999999999997,-0.044279999999999986,2.1863,3.4407,7.3869,3.741,152.2336,1.8437,5.9285,6.4798,3.7216,157.0424,160.36026526178026,120.04117748012769,1.3668175894204024,1.511011107058449
m_nitro,1652.8928,29.943043593199985,1670.1614,74.90239429044028,3086.2148,0.43164713598030513,5.118513372999999,-0.19353370500000006,1.310426684,5.287140298752256,2.1172704319999998,1.3929120060000002,-6.339884037000001,6.8276765844090646,2.474613243089722,2.759156673224126,3.035741214222276,4.7909,-0.7190103152246947,-3.7483487151603967,2.895736011130139,4.7909,-0.60722,0.25465,0.24871,-0.19379,-0.51638,0.23732,-0.43825,0.2293,-0.07178,-0.03403,0.008070000000000022,-0.10903999999999997,-0.040980000000000016,2.1867,3.9031,7.3992,3.321,136.1024,1.848,5.9954,6.7269,5.3769,177.5442,136.98163356192654,119.60461539800768,1.3661161653047666,1.50908260360525
m_I,1635.9083,33.982133521643405,1665.1876,54.88482071731907,3135.3254,0.4404140324739892,5.325433416,-0.22301207499999975,1.5390202200000003,5.5478427060808135,2.384560186,1.3237050880000003,-6.7140341459999995,7.246832201335104,-0.933374651400724,3.1765208094640904,2.5699594777280392,4.1911,-3.231589463861046,-1.4367470312649866,2.2491669380491794,4.1911,-0.6128,0.25327,0.22206,-0.18566,-0.51427,0.23716,-0.43835,0.22808,-0.07149,-0.02897,0.00275000000000003,-0.10133000000000003,-0.046640000000000015,2.1992,3.4178,7.4089,3.7626,154.8206,1.8496,6.3463,7.274,5.124,167.4796,127.69275428195446,119.49422026603645,1.3654521494325604,1.5070825002225325
m_F,1667.7992,29.63971227747462,1687.4749,58.56978966936262,3135.4133,0.43474554626815903,5.489231515999999,-0.303864758,1.538555379,5.708865831463539,2.3924426690000002,1.3146885320000004,-6.979721808,7.494578332214225,-0.9996248475020864,3.2234694416971403,2.614497539241748,4.2691,-3.3217518862383977,-1.4287081432491442,2.269440439334161,4.2691,-0.61318,0.25335,0.22839,-0.17867,-0.51573,0.23643,-0.43837,0.22783,-0.07148,-0.02116,0.002650000000000041,-0.10123999999999994,-0.04693000000000003,2.2012,3.4146,7.4117,3.766,154.7348,1.8498,5.8744,6.0469,3.818,158.2491,130.4109506443832,119.44930731502092,1.3657926338467345,1.5073918649110456
m_Cl,1647.6226,28.129027034966846,1672.1898,60.36950340986313,3135.4327,0.4266514268111616,5.30682176,-0.22114918799999977,1.4882100730000003,5.51597982022607,2.3379601809999997,1.3390651490000003,-6.671513014000001,7.195014883735775,-0.7818675438398932,3.1843211185028637,2.625917357447954,4.2008,-3.1471250484660827,-1.563781690996134,2.3014887708226226,4.2008,-0.61229,0.25316,0.22389,-0.18392,-0.51487,0.23657,-0.43835,0.22809,-0.07149,-0.02644,0.003630000000000022,-0.10211999999999993,-0.04636000000000007,2.1983,3.4211,7.4074,3.7593,154.778,1.8495,5.8864,6.7751,3.7831,157.5289,130.49358454194203,119.48627022743582,1.365894432796693,1.5075883461595212
m_Br,1641.5631,33.59717204713338,1669.3498,54.57169762915968,3083.9404,0.42041893392186797,5.321496988000001,-0.227956134,1.4843226500000004,5.529331598088898,2.320814916,1.3407039200000002,-6.69456569,7.211163474305421,-0.6689455573149852,3.1706691481806413,2.634257385701707,4.1761,-3.063361781179471,-1.6375647103304292,2.318219014047067,4.1761,-0.61199,0.2533,0.22404,-0.18392,-0.51472,0.2366,-0.43834,0.22823,-0.07151,-0.02653,0.0039000000000000146,-0.10284000000000004,-0.04581000000000002,2.1975,3.4206,7.4085,3.7593,154.8262,1.8494,5.9249,7.0545,5.1045,170.1909,130.98473995240568,119.4495925052719,1.3659229991514896,1.5076983085849769
basic,1657.1445,28.914133427767577,1680.2718,60.76330826855657,3133.1428,0.4430558429814463,5.256603190000001,-0.15304063500000004,1.6796437530000004,5.520552659840436,2.529466028,1.275037267,-6.630085639,7.209851177348876,-2.753279240576018,3.530533715563723,2.8590035093859107,5.3122,-4.897080664123103,-0.6165810464452514,1.9640633243956547,5.3122,-0.61812,0.25111,0.21125,-0.2003,-0.51394,0.23655,-0.43849,0.22715,-0.07136,-0.04642,-0.0022499999999999742,-0.09704000000000002,-0.04991000000000001,2.2038,3.4034,7.4167,3.7781,154.5689,1.8509,5.8766,5.3493,3.797,158.6045,123.1024704068464,119.51880460886527,1.3648485142509408,1.5058963689039164
