combination,r2,q2,mae,rmsd,threshold,model,predictions
"('Dist_2-3', 'L')",0.19411759131697315,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.78739835 0.82726133 0.78924986 0.65801574 0.80235098 0.86451436
 0.78773842 0.86615028 0.86626833 0.76856642 0.72471895 0.69912837
 0.57062911 0.62067322 0.77117627]"
"('Dist_2-9', 'Dist_18-20')",0.29033201491607274,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.72807371 0.82903336 0.74748912 0.65941872 0.89431543 0.90315339
 0.8706174  0.90247833 0.61480951 0.58914224 0.74437136 0.70531172
 0.6427303  0.70514221 0.86775317]"
"('Dist_2-9', 'Dist_16-17')",0.557979901933513,0.3211894572240973,0.1282464836039729,0.16230554573069686,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.78357368 0.86424646 0.87583883 0.77747858 0.91923875 0.7419319
 0.98700547 0.91921745 0.65777633 0.50413003 0.87834594 0.56747932
 0.56222008 0.58512239 0.78023476]"
"('Dist_2-9', 'Dist_10-17')",0.3320513365005918,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.70195298 0.87577669 0.80113901 0.80679604 0.88659414 0.91903975
 0.76367898 0.71185842 0.76073073 0.6134009  0.88274346 0.56373031
 0.5565027  0.70346298 0.85643289]"
"('Dist_2-9', 'dip_x')",0.19781881056332107,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.79187436 0.81301472 0.72981216 0.77341504 0.88350168 0.92105699
 0.7892627  0.70120497 0.61937152 0.58389198 0.8061602  0.74648557
 0.70188902 0.70824914 0.83464992]"
"('Dist_2-9', 'dip_y')",0.3031483107198777,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.84379142 0.89629578 0.81593415 0.80575612 0.89797076 0.80454931
 0.63943153 0.78409379 0.67633145 0.55442533 0.76194604 0.64686791
 0.61928747 0.73307959 0.92407932]"
"('Dist_2-9', 'dip_z')",0.1935510759522613,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.75474182 0.85206385 0.76631186 0.73287281 0.86891022 0.90868821
 0.78797983 0.71725206 0.64578025 0.57254511 0.79434057 0.73462535
 0.70364648 0.70249464 0.86158691]"
"('Dist_2-9', 'B1')",0.3470965511415842,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.80845214 0.8768285  0.77742626 0.79079317 0.87451403 0.93741919
 0.81763812 0.74492269 0.64586491 0.60692151 0.81412733 0.75867839
 0.71159846 0.45296813 0.78568713]"
"('Dist_2-9', 'B5')",0.2081844838408421,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.74326209 0.84111687 0.75591627 0.77237499 0.91006104 0.90836729
 0.80772317 0.69310699 0.65616487 0.61384731 0.74882818 0.68808616
 0.63707058 0.766512   0.86140216]"
"('Dist_2-9', 'L')",0.2902741636584444,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.83582655 0.89352634 0.81127883 0.65265829 0.86379501 0.94465614
 0.78231607 0.78058319 0.71005891 0.60123126 0.79323955 0.71867647
 0.58827986 0.61092436 0.81678914]"
